family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1405,run84_sparc_1405,1.1182207374552398,1.7698469557935919,1.12202800822115,1.1811178387900187,1.5121633503536775,1.08842285379941
sparc_1317,run96_sparc_1317,1.8516493053303034,2.951113151486212,1.8026004971079275,2.117217080238507,2.7139410003306357,1.2916137742309002
sparc_1512,run81_sparc_1512,2.1631938339535077,3.2628368205797726,2.2555233885696304,2.4825582501358774,3.0733384517273437,1.526489554798838
sparc_1364,run14_sparc_1364,2.3049817148908223,3.076294667626531,2.3737212538996837,2.5514394595346297,2.72740881324503,1.5459679316384487
sparc_1305,run89_sparc_1305,1.9295027813216978,2.0994105706648756,1.9785558058760961,1.8684080696905254,1.9191585529244566,1.297727740943123
sparc_1305,run71_sparc_1305,1.8422658576842856,2.6509624489135137,1.8461829487521781,1.9625310772938378,2.531683543260961,1.3100166577634764
sparc_1315,run95_sparc_1315,2.284735887515446,3.5231306760006276,2.2441741744921964,2.5643046567463257,2.9409338021260605,1.5128310940969611
sparc_1429,run94_sparc_1429,2.1533006437363835,2.6111223278317874,2.2025874333080573,2.33790891918473,2.6047382533626995,1.372006742776629
sparc_1523,run87_sparc_1523,2.086156233661943,3.1587572375536515,2.138770804915068,2.220013870530442,2.736418592669715,1.3909586800099778
sparc_1511,run4_sparc_1511,2.0033317070175323,2.911121639084864,1.9943693670566984,2.0915427440901526,2.477578061024489,1.4208106672330478
sparc_1412,run67_sparc_1412,1.972637903918942,2.8676136158259,2.08085300242578,1.8504177700343467,2.3069414340770873,1.3435804894685317
sparc_1429,run66_sparc_1429,1.0332734966333754,1.4414858199339056,1.045478352533101,1.0643167120623462,1.2612281100859308,1.0684417233630832
sparc_1358,run84_sparc_1358,2.1182595290494537,3.621757092685371,2.224758841192179,2.1251563992459808,2.946555908303947,1.5370520342832708
sparc_1365,run54_sparc_1365,2.064357821062324,3.600529334510844,2.1564931006872166,2.17854059747748,2.723025082096723,1.4412800162859702
sparc_1301,run15_sparc_1301,1.094951235613811,1.718853266250324,1.1033382854685538,1.1427333556132144,1.3949761107567717,1.1171234436308128
sparc_1319,run22_sparc_1319,1.899054669230815,2.5611499516898646,1.9132542510099926,2.0041613274148777,2.398419235593109,1.3511950157019808
sparc_1406,run34_sparc_1406,1.111253609086324,1.4551445283724376,1.1421315778418222,1.124028039002273,1.3440129725342402,1.056973551237405
sparc_1523,run36_sparc_1523,2.482956730805338,3.1433185230089844,2.349920317466519,2.387915281171315,2.4061330319499863,1.4229254168045071
sparc_1307,run84_sparc_1307,1.4420241658972333,2.3512437211920383,1.4693157805888595,1.585523647262795,1.981072892837376,1.2562678492256762
sparc_1516,run21_sparc_1516,2.0793599686353677,3.1357763306596653,2.088218397759099,2.1043813521470978,2.7874778342639805,1.4269668587485194
sparc_1359,run25_sparc_1359,1.4120908586051821,2.51900750709672,1.4797058476395286,1.5668681049889424,2.0531643172670027,1.2062311864601518
sparc_1305,run26_sparc_1305,1.8508484950472093,2.700846464170954,1.7987847199077913,2.012868245034034,2.549220944435207,1.315896123761273
sparc_1318,run1_sparc_1318,1.7903081392868894,2.6645092956144247,1.8596409398091804,1.92273648092182,2.284069321340497,1.3260522074763414
sparc_1353,run88_sparc_1353,2.152109809665022,3.3830084182955247,2.184725858765994,2.473528271537304,2.8344800963220727,1.4056194287167547
